date,energy_index
2020-07-01,86.42
2020-07-02,86.64
2020-07-03,86.859
2020-07-04,87.079
2020-07-05,87.299
2020-07-06,87.518
2020-07-07,87.738
2020-07-08,87.958
2020-07-09,88.177
2020-07-10,88.397
2020-07-11,88.617
2020-07-12,88.836
2020-07-13,89.056
2020-07-14,89.276
2020-07-15,89.495
2020-07-16,89.715
2020-07-17,89.935
2020-07-18,90.155
2020-07-19,90.374
2020-07-20,90.594
2020-07-21,90.814
2020-07-22,91.033
2020-07-23,91.253
2020-07-24,91.473
2020-07-25,91.692
2020-07-26,91.912
2020-07-27,92.132
2020-07-28,92.351
2020-07-29,92.571
2020-07-30,92.791
2020-07-31,93.01
2020-08-01,93.23
2020-08-02,93.168
2020-08-03,93.105
2020-08-04,93.043
2020-08-05,92.981
2020-08-06,92.919
2020-08-07,92.856
2020-08-08,92.794
2020-08-09,92.732
2020-08-10,92.67
2020-08-11,92.607
2020-08-12,92.545
2020-08-13,92.483
2020-08-14,92.421
2020-08-15,92.358
2020-08-16,92.296
2020-08-17,92.234
2020-08-18,92.172
2020-08-19,92.109
2020-08-20,92.047
2020-08-21,91.985
2020-08-22,91.923
2020-08-23,91.86
2020-08-24,91.798
2020-08-25,91.736
2020-08-26,91.674
2020-08-27,91.611
2020-08-28,91.549
2020-08-29,91.487
2020-08-30,91.425
2020-08-31,91.362
2020-09-01,91.3
2020-09-02,91.437
2020-09-03,91.573
2020-09-04,91.71
2020-09-05,91.847
2020-09-06,91.983
2020-09-07,92.12
2020-09-08,92.257
2020-09-09,92.393
2020-09-10,92.53
2020-09-11,92.667
2020-09-12,92.803
2020-09-13,92.94
2020-09-14,93.077
2020-09-15,93.213
2020-09-16,93.35
2020-09-17,93.487
2020-09-18,93.623
2020-09-19,93.76
2020-09-20,93.897
2020-09-21,94.033
2020-09-22,94.17
2020-09-23,94.307
2020-09-24,94.443
2020-09-25,94.58
2020-09-26,94.717
2020-09-27,94.853
2020-09-28,94.99
2020-09-29,95.127
2020-09-30,95.263
2020-10-01,95.4
2020-10-02,95.577
2020-10-03,95.755
2020-10-04,95.932
2020-10-05,96.11
2020-10-06,96.287
2020-10-07,96.465
2020-10-08,96.642
2020-10-09,96.819
2020-10-10,96.997
2020-10-11,97.174
2020-10-12,97.352
2020-10-13,97.529
2020-10-14,97.706
2020-10-15,97.884
2020-10-16,98.061
2020-10-17,98.239
2020-10-18,98.416
2020-10-19,98.594
2020-10-20,98.771
2020-10-21,98.948
2020-10-22,99.126
2020-10-23,99.303
2020-10-24,99.481
2020-10-25,99.658
2020-10-26,99.835
2020-10-27,100.013
2020-10-28,100.19
2020-10-29,100.368
2020-10-30,100.545
2020-10-31,100.723
2020-11-01,100.9
2020-11-02,101.486
2020-11-03,102.073
2020-11-04,102.659
2020-11-05,103.245
2020-11-06,103.832
2020-11-07,104.418
2020-11-08,105.004
2020-11-09,105.591
2020-11-10,106.177
2020-11-11,106.763
2020-11-12,107.35
2020-11-13,107.936
2020-11-14,108.522
2020-11-15,109.109
2020-11-16,109.695
2020-11-17,110.281
2020-11-18,110.868
2020-11-19,111.454
2020-11-20,112.04
2020-11-21,112.627
2020-11-22,113.213
2020-11-23,113.799
2020-11-24,114.386
2020-11-25,114.972
2020-11-26,115.558
2020-11-27,116.145
2020-11-28,116.731
2020-11-29,117.317
2020-11-30,117.904
2020-12-01,118.49
2020-12-02,119.134
2020-12-03,119.778
2020-12-04,120.422
2020-12-05,121.065
2020-12-06,121.709
2020-12-07,122.353
2020-12-08,122.997
2020-12-09,123.641
2020-12-10,124.285
2020-12-11,124.929
2020-12-12,125.573
2020-12-13,126.216
2020-12-14,126.86
2020-12-15,127.504
2020-12-16,128.148
2020-12-17,128.792
2020-12-18,129.436
2020-12-19,130.08
2020-12-20,130.724
2020-12-21,131.367
2020-12-22,132.011
2020-12-23,132.655
2020-12-24,133.299
2020-12-25,133.943
2020-12-26,134.587
2020-12-27,135.231
2020-12-28,135.875
2020-12-29,136.518
2020-12-30,137.162
2020-12-31,137.806
2021-01-01,138.45
2021-01-02,138.425
2021-01-03,138.399
2021-01-04,138.374
2021-01-05,138.348
2021-01-06,138.323
2021-01-07,138.297
2021-01-08,138.272
2021-01-09,138.246
2021-01-10,138.221
2021-01-11,138.195
2021-01-12,138.17
2021-01-13,138.144
2021-01-14,138.119
2021-01-15,138.093
2021-01-16,138.068
2021-01-17,138.042
2021-01-18,138.017
2021-01-19,137.991
2021-01-20,137.966
2021-01-21,137.94
2021-01-22,137.915
2021-01-23,137.889
2021-01-24,137.864
2021-01-25,137.838
2021-01-26,137.813
2021-01-27,137.787
2021-01-28,137.762
2021-01-29,137.736
2021-01-30,137.711
2021-01-31,137.685
2021-02-01,137.66
2021-02-02,137.82
2021-02-03,137.98
2021-02-04,138.14
2021-02-05,138.3
2021-02-06,138.46
2021-02-07,138.62
2021-02-08,138.78
2021-02-09,138.94
2021-02-10,139.1
2021-02-11,139.26
2021-02-12,139.42
2021-02-13,139.58
2021-02-14,139.74
2021-02-15,139.9
2021-02-16,140.06
2021-02-17,140.22
